2012-01-20,89,0.933727
2012-01-19,89,0.930045
2012-01-18,89,0.779330
2012-01-17,89,0.463376
2012-01-16,89,0.354891
2012-01-15,89,0.604375
2012-01-14,89,0.614695
2012-01-13,89,0.379033
2012-01-12,89,0.917251
2012-01-11,89,0.128064
2012-01-10,89,0.108113
2012-01-09,89,0.519060
2012-01-08,89,0.644148
2012-01-07,89,0.884513
2012-01-06,89,0.607506
2012-01-05,89,0.936048
2012-01-04,89,0.264889
2012-01-03,89,0.133704
2012-01-02,89,0.695564
2012-01-01,89,0.485509
2011-12-31,89,0.162527
2011-12-30,89,0.857171
2011-12-29,89,0.237743
2011-12-28,89,0.924152
2011-12-27,89,0.096008
2011-12-26,89,0.939640
2011-12-25,89,0.044901
2011-12-24,89,0.180360
2011-12-23,89,0.143268
2011-12-22,89,0.556652
2011-12-21,89,0.796822
2011-12-20,89,0.867869
2011-12-19,89,0.238757
2011-12-18,89,0.487839
2011-12-17,89,0.541867
2011-12-16,89,0.434082
2011-12-15,89,0.931500
2011-12-14,89,0.605279
2011-12-13,89,0.026587
2011-12-12,89,0.045590
2011-12-11,89,0.407130
2011-12-10,89,0.556077
2011-12-09,89,0.395053
2011-12-08,89,0.414174
2011-12-07,89,0.600998
2011-12-06,89,0.143916
2011-12-05,89,0.642041
2011-12-04,89,0.722196
2011-12-03,89,0.807457
2011-12-02,89,0.661918
2011-12-01,89,0.470042
2011-11-30,89,0.902500
2011-11-29,89,0.243733
2011-11-28,89,0.589747
2011-11-27,89,0.250396
2011-11-26,89,0.029430
2011-11-25,89,0.889495
2011-11-24,89,0.078723
2011-11-23,89,0.014026
2011-11-22,89,0.629141
2011-11-21,89,0.545761
2011-11-20,89,0.983354
2011-11-19,89,0.232991
2011-11-18,89,0.880122
2011-11-17,89,0.682957
2011-11-16,89,0.904444
2011-11-15,89,0.489939
2011-11-14,89,0.156024
2011-11-13,89,0.089419
2011-11-12,89,0.153202
2011-11-11,89,0.130871
2011-11-10,89,0.925050
2011-11-09,89,0.598369
2011-11-08,89,0.947071
2011-11-07,89,0.038312
2011-11-06,89,0.446495
2011-11-05,89,0.368516
2011-11-04,89,0.782810
2011-11-03,89,0.323466
2011-11-02,89,0.923902
2011-11-01,89,0.544269
2011-10-31,89,0.736461
2011-10-30,89,0.016603
2011-10-29,89,0.022892
2011-10-28,89,0.025207
2011-10-27,89,0.589602
2011-10-26,89,0.293381
2011-10-25,89,0.326382
2011-10-24,89,0.735712
2011-10-23,89,0.184432
2011-10-22,89,0.886498
2011-10-21,89,0.567475
2011-10-20,89,0.349027
2011-10-19,89,0.106830
2011-10-18,89,0.737835
2011-10-17,89,0.697791
2011-10-16,89,0.132136
2011-10-15,89,0.094916
2011-10-14,89,0.044499
2011-10-13,89,0.385497
